FT-188 | ¿Qué límite de granizo se aplica a un siniestro ocurrido en marzo de 2026? | EXP: 5.000 €, por aplicarse las Condiciones Generales v2.0 vigentes desde el 1 de enero de 2026. | GR: GROUNDED | DOC: condiciones-generales-auto-v2;politica-documentacion-y-vigencia | CAT: temporal | DIF: media
FT-189 | ¿Qué límite de granizo se aplicaba a un siniestro ocurrido durante 2025? | EXP: 3.000 €, conforme a las Condiciones Generales v1.0. | GR: GROUNDED | DOC: condiciones-generales-auto-v1 | CAT: temporal | DIF: media
FT-190 | ¿Qué cambió entre las Condiciones Generales v1.0 y la v2.0? | EXP: El límite de granizo pasó de 3.000 € a 5.000 €, se amplió el plazo de comunicación del siniestro a 7 días naturales, el ámbito territorial se extendió a Reino Unido sin recargo, se incorporó la asistencia desde el kilómetro 0 en ampliado y todo riesgo y el vehículo de sustitución en todo riesgo se amplió a 10 días. | GR: GROUNDED | DOC: condiciones-generales-auto-v1;condiciones-generales-auto-v2 | CAT: temporal | DIF: alta
FT-191 | ¿Desde cuándo están vigentes las Condiciones Generales v2.0? | EXP: Desde el 1 de enero de 2026. | GR: GROUNDED | DOC: condiciones-generales-auto-v2;politica-documentacion-y-vigencia | CAT: temporal | DIF: baja
FT-192 | ¿Qué versión de las condiciones generales ha quedado obsoleta? | EXP: La versión v1.0, vigente durante 2025 y sustituida íntegramente por la v2.0 el 1 de enero de 2026. | GR: GROUNDED | DOC: politica-documentacion-y-vigencia;condiciones-generales-auto-v1 | CAT: temporal | DIF: baja
FT-193 | ¿Cuál es el documento de condiciones generales vigente actualmente? | EXP: Las Condiciones Generales del seguro de automóvil versión 2.0. | GR: GROUNDED | DOC: condiciones-generales-auto-v2;politica-documentacion-y-vigencia | CAT: temporal | DIF: baja
FT-194 | Si mi póliza se renovó en 2026, ¿qué límite de granizo me corresponde? | EXP: 5.000 €, el previsto en la v2.0 vigente desde el 1 de enero de 2026. | GR: GROUNDED | DOC: condiciones-generales-auto-v2;politica-documentacion-y-vigencia | CAT: temporal | DIF: media
FT-195 | ¿En cuánto se incrementó el límite de granizo con la nueva versión? | EXP: En 2.000 €: pasó de 3.000 € en la v1.0 a 5.000 € en la v2.0. | GR: GROUNDED | DOC: condiciones-generales-auto-v1;condiciones-generales-auto-v2 | CAT: temporal | DIF: media
FT-196 | ¿Puedo aplicar la v1.0 a un siniestro ocurrido en 2026? | EXP: No. El régimen aplicable es el vigente en la fecha de ocurrencia, por lo que a un hecho de 2026 se aplica la v2.0. | GR: GROUNDED | DOC: politica-documentacion-y-vigencia;condiciones-generales-auto-v1 | CAT: temporal | DIF: media
FT-197 | ¿Qué versión debo consultar para un siniestro de diciembre de 2025 declarado en enero de 2026? | EXP: La versión v1.0, porque rige la fecha de ocurrencia del hecho y no la de declaración; el límite de granizo sería de 3.000 €. | GR: GROUNDED | DOC: condiciones-generales-auto-v1;politica-documentacion-y-vigencia | CAT: temporal | DIF: alta
FT-198 | ¿Cómo se identifica la versión de un documento de condiciones generales? | EXP: Por el código de documento, el número de versión y la fecha de entrada en vigor que figuran en su encabezado y en la política de documentación y vigencia. | GR: GROUNDED | DOC: politica-documentacion-y-vigencia | CAT: temporal | DIF: media
FT-199 | ¿Existe alguna contradicción entre las dos versiones respecto del granizo? | EXP: Sí: la v1.0 fija 3.000 € y la v2.0 fija 5.000 €; prevalece la v2.0 para hechos ocurridos desde el 1 de enero de 2026. | GR: GROUNDED | DOC: condiciones-generales-auto-v1;condiciones-generales-auto-v2;politica-documentacion-y-vigencia | CAT: temporal | DIF: alta
FT-200 | ¿Qué criterio se aplica cuando dos documentos indican cifras distintas? | EXP: Prevalece el documento vigente en la fecha de ocurrencia del hecho, es decir, la versión aplicable temporalmente según la política de documentación y vigencia. | GR: GROUNDED | DOC: politica-documentacion-y-vigencia | CAT: temporal | DIF: alta
FT-201 | ¿Qué documento debo citar si el siniestro es posterior a enero de 2026? | EXP: Las Condiciones Generales v2.0, vigentes desde el 1 de enero de 2026. | GR: GROUNDED | DOC: condiciones-generales-auto-v2 | CAT: temporal | DIF: baja
FT-202 | ¿El límite de 3.000 € por granizo sigue en vigor? | EXP: No. Fue sustituido por el límite de 5.000 € de la v2.0 con efectos desde el 1 de enero de 2026. | GR: GROUNDED | DOC: condiciones-generales-auto-v1;condiciones-generales-auto-v2 | CAT: temporal | DIF: baja
FT-203 | ¿La versión v2.0 mantiene los mismos importes de franquicia que la v1.0? | EXP: Sí. Las franquicias siguen siendo de 150 €, 300 € y 600 €; no figuran entre las modificaciones sustantivas de la v2.0. | GR: GROUNDED | DOC: condiciones-generales-auto-v2;todo-riesgo-con-franquicia | CAT: temporal | DIF: media
FT-204 | ¿Se modificó el plazo de comunicación de siniestros entre versiones? | EXP: Sí. La v2.0 amplió el plazo de comunicación del siniestro a 7 días naturales. | GR: GROUNDED | DOC: condiciones-generales-auto-v2;condiciones-generales-auto-v1;procedimiento-siniestros | CAT: temporal | DIF: media
