FT-208 | Mi póliza es todo riesgo con franquicia de 300 € y el daño pericial asciende a 1.000 €. ¿Qué importe me corresponde? | EXP: 700 €: 1.000 € de daño peritado menos 300 € de franquicia. | GR: GROUNDED | DOC: todo-riesgo-con-franquicia;guia-indemnizaciones | CAT: razonamiento | DIF: alta
FT-209 | Con una franquicia de 150 € y un daño valorado en 2.400 €, ¿cuánto abona la aseguradora? | EXP: 2.250 €. | GR: GROUNDED | DOC: todo-riesgo-con-franquicia;guia-indemnizaciones | CAT: razonamiento | DIF: alta
FT-210 | Tengo franquicia de 600 € y el presupuesto de reparación es de 550 €. ¿Recibiré indemnización? | EXP: No. Al ser el daño inferior a la franquicia de 600 €, el asegurado asume íntegramente los 550 €. | GR: GROUNDED | DOC: todo-riesgo-con-franquicia | CAT: razonamiento | DIF: alta
FT-211 | Con franquicia de 600 € y un daño peritado de 5.000 €, ¿cuál es la indemnización? | EXP: 4.400 €. | GR: GROUNDED | DOC: todo-riesgo-con-franquicia;guia-indemnizaciones | CAT: razonamiento | DIF: alta
FT-212 | Mi vehículo tiene un valor venal de 8.000 € y la reparación cuesta 6.500 €. ¿Se considera pérdida total? | EXP: Sí. 6.500 € equivale al 81,25 % del valor venal, por encima del umbral del 75 %. | GR: GROUNDED | DOC: guia-indemnizaciones;condiciones-generales-auto-v2 | CAT: razonamiento | DIF: alta
FT-213 | El valor venal es de 10.000 € y reparar cuesta 7.000 €. ¿Es pérdida total? | EXP: No. 7.000 € representa el 70 % del valor venal, por debajo del umbral del 75 %. | GR: GROUNDED | DOC: guia-indemnizaciones;condiciones-generales-auto-v2 | CAT: razonamiento | DIF: alta
FT-214 | Tengo terceros básico y el granizo me ha causado 2.000 € de daños. ¿Qué me indemnizan? | EXP: Nada. El terceros básico no cubre daños propios, por lo que el granizo no está amparado. | GR: GROUNDED | DOC: terceros-basico;fenomenos-meteorologicos | CAT: razonamiento | DIF: alta
FT-215 | Tengo todo riesgo sin franquicia y el granizo me ha causado 6.000 € de daños en 2026. ¿Cuánto cobro? | EXP: 5.000 €, el límite de granizo de las Condiciones Generales v2.0; los 1.000 € restantes quedan a cargo del asegurado. | GR: GROUNDED | DOC: condiciones-generales-auto-v2;fenomenos-meteorologicos;todo-riesgo-sin-franquicia | CAT: razonamiento | DIF: alta
FT-216 | Un daño de granizo de 4.000 € ocurrido en 2025, ¿se habría indemnizado por completo? | EXP: No. En 2025 regía la v1.0 con un límite de 3.000 €, por lo que se habrían indemnizado 3.000 €. | GR: GROUNDED | DOC: condiciones-generales-auto-v1;fenomenos-meteorologicos | CAT: razonamiento | DIF: alta
FT-217 | Mi hijo de 22 años, con carnet desde hace un año, figura como segundo conductor. ¿Se le aplica algún régimen especial? | EXP: Sí. Es conductor joven por ser menor de 25 años y tener menos de 2 años de carnet, con posible recargo de prima y franquicia específica. | GR: GROUNDED | DOC: conductores-jovenes;segundo-conductor-y-uso-profesional | CAT: razonamiento | DIF: alta
FT-218 | Me he averiado a 10 km de mi casa y tengo terceros básico. ¿Tengo derecho a remolcado? | EXP: No. En terceros básico la asistencia sólo se presta a partir de 25 km del domicilio habitual. | GR: GROUNDED | DOC: asistencia-en-carretera;terceros-basico | CAT: razonamiento | DIF: alta
FT-219 | Me he quedado tirado en la puerta de casa con un terceros ampliado. ¿Me remolcan? | EXP: Sí. En terceros ampliado la asistencia opera desde el kilómetro 0, es decir, desde el propio domicilio. | GR: GROUNDED | DOC: asistencia-en-carretera;terceros-ampliado | CAT: razonamiento | DIF: media
FT-220 | Comuniqué el siniestro a los 10 días de ocurrir. ¿Cumplí el plazo? | EXP: No. El plazo de comunicación es de 7 días naturales, por lo que se superó en 3 días y la aseguradora puede reclamar los perjuicios causados. | GR: GROUNDED | DOC: procedimiento-siniestros;condiciones-generales-auto-v2 | CAT: razonamiento | DIF: alta
FT-221 | Me robaron el coche el lunes y presenté la denuncia el jueves. ¿Está dentro de plazo? | EXP: No. La denuncia policial debe presentarse dentro de las 48 horas y transcurrieron aproximadamente 72. | GR: GROUNDED | DOC: cobertura-robo;procedimiento-siniestros | CAT: razonamiento | DIF: alta
FT-222 | Tengo todo riesgo y me sustrajeron el cable de carga junto con otros accesorios valorados en 800 €. ¿Cuánto cubre el cable? | EXP: El cable de carga está cubierto hasta 600 €. | GR: GROUNDED | DOC: vehiculos-electricos;cobertura-robo | CAT: razonamiento | DIF: alta
FT-223 | Mi coche se averió en Portugal y repatriarlo cuesta 1.800 €. ¿Cuánto asume la aseguradora? | EXP: 1.500 €, el límite de la repatriación internacional del vehículo; los 300 € restantes son a cargo del asegurado. | GR: GROUNDED | DOC: asistencia-en-carretera | CAT: razonamiento | DIF: alta
FT-224 | Voy a conducir por Turquía sin carta verde. ¿Estoy cubierto? | EXP: No. Marruecos y Turquía sólo quedan cubiertos si se dispone de carta verde en vigor. | GR: GROUNDED | DOC: poliza-general-auto;condiciones-generales-auto-v2 | CAT: razonamiento | DIF: alta
FT-225 | Tengo terceros ampliado y mi coche estará 8 días en el taller. ¿Cuántos días de vehículo de sustitución me corresponden? | EXP: 5 días, el máximo previsto en terceros ampliado; los 10 días corresponden al todo riesgo. | GR: GROUNDED | DOC: asistencia-en-carretera;terceros-ampliado | CAT: razonamiento | DIF: alta
FT-226 | Mi coche eléctrico ha perdido un 20 % de capacidad de batería en cuatro años. ¿Me lo cubre el todo riesgo? | EXP: No. La degradación natural de la batería está excluida aunque se tenga contratado el todo riesgo. | GR: GROUNDED | DOC: vehiculos-electricos;tabla-exclusiones | CAT: razonamiento | DIF: alta
FT-227 | Con todo riesgo con franquicia de 300 €, un daño de 12.000 € y un valor venal de 9.000 €, ¿qué ocurre? | EXP: Se declara pérdida total porque la reparación supera el 75 % del valor venal; se indemniza el valor venal de 9.000 € menos la franquicia de 300 €, es decir 8.700 €. | GR: GROUNDED | DOC: guia-indemnizaciones;todo-riesgo-con-franquicia | CAT: razonamiento | DIF: alta
