FT-001 | ¿Qué cubre la modalidad de terceros básico? | EXP: Cubre la responsabilidad civil obligatoria y voluntaria frente a terceros, la defensa jurídica y los accidentes del conductor; no cubre daños propios del vehículo (ni granizo, ni robo, ni incendio, ni lunas, ni colisión propia). | GR: GROUNDED | DOC: terceros-basico | CAT: cobertura | DIF: baja
FT-002 | ¿Qué coberturas añade el terceros ampliado respecto al terceros básico? | EXP: Añade robo, incendio, lunas y fenómenos meteorológicos, además de asistencia en carretera desde el kilómetro 0; sigue sin cubrir los daños propios por colisión. | GR: GROUNDED | DOC: terceros-ampliado | CAT: cobertura | DIF: media
FT-003 | ¿La modalidad de todo riesgo cubre los daños propios del vehículo por colisión? | EXP: Sí. El todo riesgo cubre los daños por colisión, vuelco y salida de vía con independencia de la culpa del conductor, con o sin franquicia según la modalidad contratada. | GR: GROUNDED | DOC: todo-riesgo-sin-franquicia;todo-riesgo-con-franquicia | CAT: cobertura | DIF: baja
FT-004 | ¿Qué diferencia hay entre todo riesgo con franquicia y todo riesgo sin franquicia? | EXP: En todo riesgo con franquicia el asegurado asume un importe fijo por siniestro de daños propios (150 €, 300 € o 600 €); en todo riesgo sin franquicia la aseguradora indemniza el daño íntegro sin descuento. | GR: GROUNDED | DOC: todo-riesgo-con-franquicia;todo-riesgo-sin-franquicia | CAT: cobertura | DIF: media
FT-005 | ¿Está incluida la responsabilidad civil obligatoria en todas las modalidades? | EXP: Sí. La responsabilidad civil obligatoria es común a todas las modalidades comercializadas y no admite franquicia ni sublímite convencional. | GR: GROUNDED | DOC: poliza-general-auto;condiciones-generales-auto-v2 | CAT: cobertura | DIF: baja
FT-006 | ¿En qué países es válida la póliza de automóvil? | EXP: En España, la Unión Europea, el Espacio Económico Europeo, Reino Unido, Suiza y Andorra; Marruecos y Turquía únicamente con carta verde en vigor. | GR: GROUNDED | DOC: poliza-general-auto | CAT: cobertura | DIF: media
FT-007 | ¿Necesito carta verde para circular por Marruecos? | EXP: Sí. Marruecos y Turquía sólo quedan amparados si se dispone de carta verde en vigor. | GR: GROUNDED | DOC: poliza-general-auto;condiciones-generales-auto-v2 | CAT: cobertura | DIF: media
FT-008 | ¿El terceros ampliado con lunas cubre la rotura del parabrisas? | EXP: Sí. La modalidad terceros ampliado con lunas cubre la reparación o sustitución del parabrisas, la luneta trasera y las ventanillas laterales. | GR: GROUNDED | DOC: terceros-ampliado-lunas;cobertura-lunas | CAT: cobertura | DIF: baja
FT-009 | ¿La cobertura de robo está incluida en el terceros ampliado? | EXP: Sí. El robo está cubierto en terceros ampliado y en todo riesgo, pero no en terceros básico. | GR: GROUNDED | DOC: terceros-ampliado;cobertura-robo | CAT: cobertura | DIF: media
FT-010 | ¿Cubre la póliza los daños causados por el incendio del vehículo? | EXP: Sí, en terceros ampliado y en todo riesgo, incluidos los daños por explosión y caída de rayo. El terceros básico no cubre incendio. | GR: GROUNDED | DOC: cobertura-incendio;terceros-ampliado | CAT: cobertura | DIF: media
FT-011 | ¿Qué prestaciones incluye la garantía de asistencia en carretera? | EXP: Auxilio in situ, remolcado hasta el taller, transporte de los ocupantes y, según modalidad, vehículo de sustitución; opera desde el km 0 en terceros ampliado y todo riesgo, y desde 25 km del domicilio en terceros básico. | GR: GROUNDED | DOC: asistencia-en-carretera | CAT: cobertura | DIF: media
FT-012 | ¿Están cubiertos los daños por granizo en el todo riesgo? | EXP: Sí, con el límite de 5.000 € por siniestro establecido en las Condiciones Generales v2.0 vigentes desde el 1 de enero de 2026. | GR: GROUNDED | DOC: fenomenos-meteorologicos;condiciones-generales-auto-v2 | CAT: cobertura | DIF: media
FT-013 | ¿Cubre la póliza el uso profesional del vehículo? | EXP: Sólo si el uso profesional se ha declarado expresamente y consta en las condiciones particulares; el uso distinto del declarado es una exclusión. | GR: GROUNDED | DOC: segundo-conductor-y-uso-profesional | CAT: cobertura | DIF: media
FT-014 | ¿Está cubierto el vehículo si lo conduce un segundo conductor declarado? | EXP: Sí, siempre que el segundo conductor figure declarado en la póliza y cumpla los requisitos de edad, permiso en vigor y antigüedad de carnet. | GR: GROUNDED | DOC: segundo-conductor-y-uso-profesional | CAT: cobertura | DIF: baja
FT-015 | ¿Qué cobertura tiene un vehículo eléctrico respecto a su batería de tracción? | EXP: La batería está cubierta frente a daños accidentales, incendio y robo, pero su degradación natural por uso o envejecimiento está excluida. | GR: GROUNDED | DOC: vehiculos-electricos | CAT: cobertura | DIF: media
FT-016 | ¿Está cubierta la degradación natural de la batería de un vehículo eléctrico? | EXP: No. La degradación natural de la batería por uso o envejecimiento está excluida expresamente de la cobertura. | GR: GROUNDED | DOC: vehiculos-electricos;tabla-exclusiones | CAT: exclusion | DIF: media
FT-017 | ¿Cubre la póliza los daños si el conductor da positivo en alcoholemia? | EXP: No. La conducción en estado de embriaguez o bajo la influencia de drogas excluye todas las garantías de daños propios. | GR: GROUNDED | DOC: tabla-exclusiones;condiciones-generales-auto-v2 | CAT: exclusion | DIF: baja
FT-018 | ¿Están cubiertos los daños producidos en competiciones o pruebas de velocidad? | EXP: No. La participación en pruebas de velocidad, apuestas o desafíos está excluida, aun cuando se celebren en circuito cerrado. | GR: GROUNDED | DOC: tabla-exclusiones | CAT: exclusion | DIF: baja
FT-019 | ¿Cubre la póliza el desgaste de neumáticos y frenos? | EXP: No. El desgaste natural y los daños a neumáticos están excluidos, salvo que sean consecuencia de un siniestro cubierto que afecte a otros elementos del vehículo. | GR: GROUNDED | DOC: tabla-exclusiones | CAT: exclusion | DIF: baja
FT-020 | ¿Qué ocurre si el conductor carece de permiso de conducir válido? | EXP: El siniestro queda excluido de las garantías de daños propios: conducir sin permiso válido es una exclusión expresa. | GR: GROUNDED | DOC: tabla-exclusiones;poliza-general-auto | CAT: exclusion | DIF: media
FT-021 | ¿Están cubiertos los daños causados intencionadamente por el asegurado? | EXP: No. Los daños causados con dolo o culpa grave del asegurado o del conductor están excluidos. | GR: GROUNDED | DOC: tabla-exclusiones | CAT: exclusion | DIF: baja
FT-022 | ¿Cubre la póliza los efectos personales dejados dentro del vehículo? | EXP: No. Los efectos personales y las mercancías transportadas quedan excluidos salvo garantía específica contratada. | GR: GROUNDED | DOC: tabla-exclusiones;cobertura-robo | CAT: exclusion | DIF: media
FT-023 | ¿Se cubren los daños derivados de terrorismo, motín o riesgos extraordinarios? | EXP: No por esta póliza. Los fenómenos declarados extraordinarios y los daños por terrorismo, motín o tumulto popular quedan fuera y son objeto de cobertura por el organismo público correspondiente. | GR: GROUNDED | DOC: tabla-exclusiones;condiciones-generales-auto-v2 | CAT: exclusion | DIF: media
