FT-158 | ¿Cubre el seguro el robo? | EXP: Depende de la modalidad contratada: el robo está cubierto en terceros ampliado y en todo riesgo, pero no en terceros básico. Hay que revisar la modalidad de la póliza. | GR: DEPENDS | DOC: cobertura-robo;terceros-basico;terceros-ampliado | CAT: ambiguo | DIF: media
FT-159 | ¿Está cubierto el cristal? | EXP: Depende: la garantía de lunas se incluye en terceros ampliado con lunas y en todo riesgo, pero no en terceros básico; el techo solar requiere garantía expresa. | GR: DEPENDS | DOC: cobertura-lunas;terceros-ampliado-lunas;terceros-basico | CAT: ambiguo | DIF: media
FT-160 | ¿Puedo usar el coche para trabajar? | EXP: Depende del uso declarado en las condiciones particulares: el uso profesional debe declararse expresamente, ya que el uso distinto del declarado es una exclusión. | GR: DEPENDS | DOC: segundo-conductor-y-uso-profesional;tabla-exclusiones | CAT: ambiguo | DIF: media
FT-161 | ¿Me cubre si conduce mi hijo? | EXP: Depende de si figura declarado como conductor y de su edad y antigüedad de carnet: los menores de 25 años o con menos de 2 años de permiso tienen régimen de conductor joven. | GR: DEPENDS | DOC: conductores-jovenes;segundo-conductor-y-uso-profesional | CAT: ambiguo | DIF: media
FT-162 | ¿Tengo asistencia en carretera? | EXP: Depende de la modalidad: desde el km 0 en terceros ampliado y todo riesgo, y sólo a partir de 25 km del domicilio en terceros básico. | GR: DEPENDS | DOC: asistencia-en-carretera;terceros-basico;terceros-ampliado | CAT: ambiguo | DIF: media
FT-163 | ¿Cuánto me devuelven por el siniestro? | EXP: Depende de la valoración pericial, de la modalidad contratada, de la franquicia aplicable (150 €, 300 € o 600 €) y de si se declara pérdida total por superar el 75 % del valor venal. | GR: DEPENDS | DOC: guia-indemnizaciones;todo-riesgo-con-franquicia;todo-riesgo-sin-franquicia | CAT: ambiguo | DIF: alta
FT-164 | ¿Me dan coche de sustitución? | EXP: Depende de la modalidad: 10 días en todo riesgo y 5 días en terceros ampliado; el terceros básico no lo incluye. | GR: DEPENDS | DOC: asistencia-en-carretera;terceros-ampliado;terceros-basico | CAT: ambiguo | DIF: media
FT-165 | ¿Estoy cubierto si viajo al extranjero? | EXP: Depende del país de destino: España, UE, EEE, Reino Unido, Suiza y Andorra están incluidos; Marruecos y Turquía requieren carta verde. | GR: DEPENDS | DOC: poliza-general-auto;condiciones-generales-auto-v2 | CAT: ambiguo | DIF: media
FT-166 | ¿Tengo que pagar franquicia? | EXP: Depende de la modalidad: sólo se aplica en todo riesgo con franquicia, con importes de 150 €, 300 € o 600 €, y nunca sobre la responsabilidad civil. | GR: DEPENDS | DOC: todo-riesgo-con-franquicia;todo-riesgo-sin-franquicia | CAT: ambiguo | DIF: media
FT-167 | ¿Cubre el granizo? | EXP: Depende de la modalidad y de la versión aplicable: 5.000 € con las Condiciones Generales v2.0 vigentes y 3.000 € con la v1.0 de 2025; el terceros básico no lo cubre. | GR: DEPENDS | DOC: fenomenos-meteorologicos;condiciones-generales-auto-v2;condiciones-generales-auto-v1 | CAT: ambiguo | DIF: alta
FT-168 | ¿Está cubierta mi batería? | EXP: Depende de la causa del daño: los daños accidentales, el incendio y el robo están cubiertos, pero la degradación natural está excluida. | GR: DEPENDS | DOC: vehiculos-electricos;vehiculos-hibridos;tabla-exclusiones | CAT: ambiguo | DIF: media
FT-169 | ¿Qué pasa si tengo un accidente? | EXP: Depende de la modalidad y de las circunstancias del hecho; en todo caso debe comunicarse en 7 días naturales y seguirse el procedimiento de siniestros. | GR: DEPENDS | DOC: procedimiento-siniestros;poliza-general-auto | CAT: ambiguo | DIF: media
FT-170 | ¿Me cubre el incendio? | EXP: Depende de la modalidad contratada: está incluido en terceros ampliado y todo riesgo, y excluido en terceros básico. | GR: DEPENDS | DOC: cobertura-incendio;terceros-basico;terceros-ampliado | CAT: ambiguo | DIF: media
FT-171 | ¿Puedo llevar el coche a cualquier taller? | EXP: Depende de la opción elegida: el taller libre es posible abonándose el importe peritado, mientras que el taller concertado evita el desembolso y añade garantía sobre la reparación. | GR: DEPENDS | DOC: manual-tramitacion-siniestros;procedimiento-siniestros | CAT: ambiguo | DIF: media
FT-172 | ¿Está incluido el remolque? | EXP: Depende de la modalidad y del punto en que se produzca la avería: km 0 en terceros ampliado y todo riesgo, 25 km del domicilio en terceros básico. | GR: DEPENDS | DOC: asistencia-en-carretera;terceros-basico | CAT: ambiguo | DIF: media
FT-173 | ¿Cuánto tengo de cobertura? | EXP: Depende de la garantía consultada y de la versión de condiciones aplicable; deben revisarse los límites de cada garantía y las condiciones particulares de la póliza. | GR: DEPENDS | DOC: condiciones-generales-auto-v2;poliza-general-auto | CAT: ambiguo | DIF: media
FT-174 | ¿Mi póliza está vigente? | EXP: Depende de la fecha de efecto y de la renovación del contrato, así como de la versión de condiciones aplicable según la política de documentación y vigencia. | GR: DEPENDS | DOC: politica-documentacion-y-vigencia;poliza-general-auto | CAT: ambiguo | DIF: media
FT-175 | ¿Está cubierto el conductor ocasional? | EXP: Depende de si se trata de un tercero autorizado puntual o de un conductor habitual no declarado, y de su edad y antigüedad de permiso. | GR: DEPENDS | DOC: segundo-conductor-y-uso-profesional;conductores-jovenes | CAT: ambiguo | DIF: media
FT-176 | ¿Puedo reclamar? | EXP: Depende del motivo y de la fase del expediente; el procedimiento de reclamaciones prevé una resolución en un plazo máximo de 30 días naturales. | GR: DEPENDS | DOC: procedimiento-reclamaciones | CAT: ambiguo | DIF: baja
FT-177 | ¿Cubre los daños de mi coche? | EXP: Depende de la modalidad: los daños propios por colisión sólo se cubren en todo riesgo; el terceros básico no cubre daños propios. | GR: DEPENDS | DOC: todo-riesgo-sin-franquicia;todo-riesgo-con-franquicia;terceros-basico | CAT: ambiguo | DIF: media
FT-178 | ¿Me cubren si el coche está aparcado? | EXP: Depende de la causa del daño y de la modalidad: robo, incendio, lunas y fenómenos meteorológicos sólo se cubren desde terceros ampliado. | GR: DEPENDS | DOC: terceros-ampliado;cobertura-robo;fenomenos-meteorologicos | CAT: ambiguo | DIF: media
FT-179 | ¿Qué límite tengo por granizo? | EXP: Depende de la versión de condiciones aplicable en la fecha del siniestro: 5.000 € con la v2.0 vigente y 3.000 € con la v1.0 de 2025. | GR: DEPENDS | DOC: condiciones-generales-auto-v2;condiciones-generales-auto-v1 | CAT: ambiguo | DIF: media
FT-180 | ¿Se me aplica recargo por conductor joven? | EXP: Depende de si el conductor declarado es menor de 25 años o tiene menos de 2 años de antigüedad de carnet. | GR: DEPENDS | DOC: conductores-jovenes | CAT: ambiguo | DIF: media
FT-181 | ¿Tengo cubierto el vehículo si lo uso para repartir paquetes? | EXP: Depende de si el uso profesional de reparto figura declarado en las condiciones particulares; sin declararlo el siniestro queda excluido. | GR: DEPENDS | DOC: segundo-conductor-y-uso-profesional;tabla-exclusiones | CAT: ambiguo | DIF: media
FT-182 | ¿Me cubre la avería? | EXP: Depende de la causa: la avería mecánica o eléctrica sin siniestro cubierto está excluida, aunque la asistencia en carretera puede cubrir el remolcado. | GR: DEPENDS | DOC: tabla-exclusiones;asistencia-en-carretera | CAT: ambiguo | DIF: media
FT-183 | ¿Qué documentación necesito? | EXP: Depende del tipo de siniestro: en robo se exige denuncia policial en 48 horas, y con carácter general parte de siniestro y documentación del vehículo y del conductor. | GR: DEPENDS | DOC: procedimiento-siniestros;cobertura-robo | CAT: ambiguo | DIF: media
FT-184 | ¿Está cubierto mi coche eléctrico? | EXP: Depende de la modalidad y de la garantía concreta: la batería está cubierta frente a accidente, incendio y robo, pero no su degradación natural. | GR: DEPENDS | DOC: vehiculos-electricos;tabla-exclusiones | CAT: ambiguo | DIF: media
FT-185 | ¿Cuánto tardan en pagarme? | EXP: Depende del estado del expediente y de la peritación; existen plazos distintos para el importe mínimo indiscutido y para la liquidación definitiva, y 30 días naturales para resolver una reclamación. | GR: DEPENDS | DOC: manual-tramitacion-siniestros;procedimiento-reclamaciones | CAT: ambiguo | DIF: media
FT-186 | ¿Tengo cobertura de lunas? | EXP: Depende de la modalidad: está incluida en terceros ampliado con lunas y en todo riesgo, y no en terceros básico. | GR: DEPENDS | DOC: cobertura-lunas;terceros-ampliado-lunas;terceros-ampliado | CAT: ambiguo | DIF: media
FT-187 | ¿Qué condiciones generales se aplican a mi póliza? | EXP: Depende de la fecha de ocurrencia del siniestro: la v2.0 para hechos desde el 1 de enero de 2026 y la v1.0 para hechos de 2025. | GR: DEPENDS | DOC: politica-documentacion-y-vigencia;condiciones-generales-auto-v2;condiciones-generales-auto-v1 | CAT: ambiguo | DIF: media
